time_s,mocap_time_s,source_id,target_id,desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,bearing_valid,bearing_error_rad,bearing_error_deg
11.118400,1785229878.488173723,car1,car6,0.000000000,1.000000000,0.000000000,0.025355259,0.999678504,0.000000000,1,0.025357976,1.452905
11.118400,1785229878.488173723,car6,car1,0.000000000,-1.000000000,0.000000000,-0.025355259,-0.999678504,0.000000000,1,0.025357976,1.452905
11.320309,1785229878.688216925,car1,car6,0.000000000,1.000000000,0.000000000,0.022603168,0.999744516,0.000000000,1,0.022605093,1.295176
11.320309,1785229878.688216925,car6,car1,0.000000000,-1.000000000,0.000000000,-0.022603168,-0.999744516,0.000000000,1,0.022605093,1.295176
11.522722,1785229878.898234606,car1,car6,0.000000000,1.000000000,0.000000000,0.026027249,0.999661234,0.000000000,1,0.026030189,1.491420
11.522722,1785229878.898234606,car6,car1,0.000000000,-1.000000000,0.000000000,-0.026027249,-0.999661234,0.000000000,1,0.026030189,1.491420
11.725201,1785229879.088318586,car1,car6,0.000000000,1.000000000,0.000000000,0.022158179,0.999754477,0.000000000,1,0.022159992,1.269674
11.725201,1785229879.088318586,car6,car1,0.000000000,-1.000000000,0.000000000,-0.022158179,-0.999754477,0.000000000,1,0.022159992,1.269674
11.927145,1785229879.298214674,car1,car6,0.000000000,1.000000000,0.000000000,0.012650794,0.999919975,0.000000000,1,0.012651132,0.724856
11.927145,1785229879.298214674,car6,car1,0.000000000,-1.000000000,0.000000000,-0.012650794,-0.999919975,0.000000000,1,0.012651132,0.724856
12.129417,1785229879.498115778,car1,car6,0.000000000,1.000000000,0.000000000,0.016705818,0.999860448,0.000000000,1,0.016706595,0.957217
12.129417,1785229879.498115778,car6,car1,0.000000000,-1.000000000,0.000000000,-0.016705818,-0.999860448,0.000000000,1,0.016706595,0.957217
12.332047,1785229879.698202372,car1,car6,0.000000000,1.000000000,0.000000000,0.015262849,0.999883516,0.000000000,1,0.015263441,0.874531
12.332047,1785229879.698202372,car6,car1,0.000000000,-1.000000000,0.000000000,-0.015262849,-0.999883516,0.000000000,1,0.015263441,0.874531
12.533553,1785229879.908224344,car1,car6,0.000000000,1.000000000,0.000000000,0.014044958,0.999901365,0.000000000,1,0.014045419,0.804743
12.533553,1785229879.908224344,car6,car1,0.000000000,-1.000000000,0.000000000,-0.014044958,-0.999901365,0.000000000,1,0.014045419,0.804743
12.735337,1785229880.108181238,car1,car6,0.000000000,1.000000000,0.000000000,0.015701065,0.999876731,0.000000000,1,0.015701710,0.899642
12.735337,1785229880.108181238,car6,car1,0.000000000,-1.000000000,0.000000000,-0.015701065,-0.999876731,0.000000000,1,0.015701710,0.899642
12.937171,1785229880.298252344,car1,car6,0.000000000,1.000000000,0.000000000,0.019226555,0.999815153,0.000000000,1,0.019227739,1.101668
12.937171,1785229880.298252344,car6,car1,0.000000000,-1.000000000,0.000000000,-0.019226555,-0.999815153,0.000000000,1,0.019227739,1.101668
13.139442,1785229880.508196831,car1,car6,0.000000000,1.000000000,0.000000000,0.017855345,0.999840581,0.000000000,1,0.017856294,1.023090
13.139442,1785229880.508196831,car6,car1,0.000000000,-1.000000000,0.000000000,-0.017855345,-0.999840581,0.000000000,1,0.017856294,1.023090
13.343109,1785229880.718301058,car1,car6,0.000000000,1.000000000,0.000000000,0.017225439,0.999851631,0.000000000,1,0.017226291,0.986994
13.343109,1785229880.718301058,car6,car1,0.000000000,-1.000000000,0.000000000,-0.017225439,-0.999851631,0.000000000,1,0.017226291,0.986994
13.544867,1785229880.908157825,car1,car6,0.000000000,1.000000000,0.000000000,0.022873540,0.999738366,0.000000000,1,0.022875535,1.310672
13.544867,1785229880.908157825,car6,car1,0.000000000,-1.000000000,0.000000000,-0.022873540,-0.999738366,0.000000000,1,0.022875535,1.310672
13.746725,1785229881.118310928,car1,car6,0.000000000,1.000000000,0.000000000,0.020042613,0.999799127,0.000000000,1,0.020043955,1.148434
13.746725,1785229881.118310928,car6,car1,0.000000000,-1.000000000,0.000000000,-0.020042613,-0.999799127,0.000000000,1,0.020043955,1.148434
13.948528,1785229881.318179131,car1,car6,0.000000000,1.000000000,0.000000000,0.018181814,0.999834697,0.000000000,1,0.018182815,1.041799
13.948528,1785229881.318179131,car6,car1,0.000000000,-1.000000000,0.000000000,-0.018181814,-0.999834697,0.000000000,1,0.018182815,1.041799
14.150246,1785229881.518356562,car1,car6,0.000000000,1.000000000,0.000000000,0.021701241,0.999764500,0.000000000,1,0.021702944,1.243487
14.150246,1785229881.518356562,car6,car1,0.000000000,-1.000000000,0.000000000,-0.021701241,-0.999764500,0.000000000,1,0.021702944,1.243487
14.352256,1785229881.718251705,car1,car6,0.000000000,1.000000000,0.000000000,0.021110346,0.999777152,0.000000000,1,0.021111914,1.209624
14.352256,1785229881.718251705,car6,car1,0.000000000,-1.000000000,0.000000000,-0.021110346,-0.999777152,0.000000000,1,0.021111914,1.209624
14.554074,1785229881.928241253,car1,car6,0.000000000,1.000000000,0.000000000,0.020716227,0.999785396,0.000000000,1,0.020717709,1.187037
14.554074,1785229881.928241253,car6,car1,0.000000000,-1.000000000,0.000000000,-0.020716227,-0.999785396,0.000000000,1,0.020717709,1.187037
14.756285,1785229882.128247261,car1,car6,0.000000000,1.000000000,0.000000000,0.025034855,0.999686579,0.000000000,1,0.025037471,1.434541
14.756285,1785229882.128247261,car6,car1,0.000000000,-1.000000000,0.000000000,-0.025034855,-0.999686579,0.000000000,1,0.025037471,1.434541
